Semana,React,Angular,Vue.js
2023-12-03,79,33,17
2023-12-10,81,33,16
2023-12-17,81,32,16
2023-12-24,62,22,12
2023-12-31,72,27,12
2024-01-07,85,34,17
2024-01-14,86,33,17
2024-01-21,84,34,17
2024-01-28,96,39,19
2024-02-04,99,40,18
2024-02-11,92,37,16
2024-02-18,100,38,19
2024-02-25,95,38,18
2024-03-03,98,39,18
2024-03-10,93,38,18
2024-03-17,95,38,18
2024-03-24,93,34,17
2024-03-31,99,35,16
2024-04-07,98,35,17
2024-04-14,98,35,19
2024-04-21,99,38,18
2024-04-28,93,32,15
2024-05-05,93,34,17
2024-05-12,98,36,17
2024-05-19,96,37,18
2024-05-26,94,37,17
2024-06-02,95,34,16
2024-06-09,91,35,16
2024-06-16,84,33,16
2024-06-23,88,33,15
2024-06-30,88,31,15
2024-07-07,91,34,15
2024-07-14,94,33,15
2024-07-21,92,33,16
2024-07-28,87,31,15
2024-08-04,87,30,15
2024-08-11,85,29,14
2024-08-18,87,30,15
2024-08-25,86,31,14
2024-09-01,83,30,15
2024-09-08,87,31,15
2024-09-15,82,30,13
2024-09-22,81,30,14
2024-09-29,77,28,13
2024-10-06,80,28,14
2024-10-13,80,29,14
2024-10-20,83,29,13
2024-10-27,79,25,13
2024-11-03,82,28,12
2024-11-10,81,28,13
2024-11-17,85,30,13
2024-11-24,81,27,13
2024-12-01,86,29,13
