Semana,GNU/Linux,Microsoft Windows,macOS
2021-12-26,15,71,29
2022-01-02,20,89,37
2022-01-09,22,93,38
2022-01-16,20,90,33
2022-01-23,23,89,37
2022-01-30,22,92,36
2022-02-06,23,93,36
2022-02-13,24,100,38
2022-02-20,23,92,37
2022-02-27,23,94,35
2022-03-06,24,91,40
2022-03-13,24,87,40
2022-03-20,24,83,41
2022-03-27,24,83,45
2022-04-03,23,72,46
2022-04-10,24,68,39
2022-04-17,23,71,42
2022-04-24,23,68,43
2022-05-01,22,65,40
2022-05-08,23,83,36
2022-05-15,21,86,36
2022-05-22,21,74,35
2022-05-29,20,68,34
2022-06-05,21,73,37
2022-06-12,21,74,36
2022-06-19,20,74,34
2022-06-26,21,72,35
2022-07-03,20,70,29
2022-07-10,21,70,32
2022-07-17,21,67,33
2022-07-24,21,65,31
2022-07-31,20,69,31
2022-08-07,21,71,30
2022-08-14,20,73,37
2022-08-21,21,69,36
2022-08-28,21,71,39
2022-09-04,20,69,36
2022-09-11,21,73,41
2022-09-18,22,75,41
2022-09-25,21,75,39
2022-10-02,21,72,35
2022-10-09,21,75,31
2022-10-16,22,79,33
2022-10-23,21,75,31
2022-10-30,21,72,31
2022-11-06,21,76,31
2022-11-13,22,77,32
2022-11-20,20,70,28
2022-11-27,21,72,36
2022-12-04,22,66,38
2022-12-11,20,70,40
2022-12-18,20,66,36
2022-12-25,17,64,35
2023-01-01,18,69,38
2023-01-08,21,72,41
2023-01-15,22,74,43
2023-01-22,21,73,44
2023-01-29,23,76,45
2023-02-05,22,73,43
2023-02-12,22,73,40
2023-02-19,21,73,39
2023-02-26,21,72,40
2023-03-05,22,80,43
2023-03-12,22,89,43
2023-03-19,22,88,45
2023-03-26,22,86,45
2023-04-02,21,87,44
2023-04-09,21,84,44
2023-04-16,21,81,44
2023-04-23,21,81,46
2023-04-30,19,81,42
2023-05-07,21,86,42
2023-05-14,20,84,43
2023-05-21,20,92,42
2023-05-28,19,83,41
2023-06-04,20,82,44
2023-06-11,20,86,42
2023-06-18,20,82,43
2023-06-25,19,82,41
2023-07-02,20,80,42
2023-07-09,23,90,44
2023-07-16,21,85,42
2023-07-23,21,81,41
2023-07-30,21,83,41
2023-08-06,22,86,44
2023-08-13,20,84,44
2023-08-20,21,81,44
2023-08-27,21,85,47
2023-09-03,22,84,46
2023-09-10,23,83,48
2023-09-17,21,86,49
2023-09-24,21,84,52
2023-10-01,21,83,50
2023-10-08,20,86,47
2023-10-15,22,90,47
2023-10-22,22,84,47
2023-10-29,21,81,45
2023-11-05,22,88,46
2023-11-12,21,86,46
2023-11-19,21,83,46
2023-11-26,22,82,46
2023-12-03,22,85,46
2023-12-10,20,73,41
2023-12-17,21,70,40
2023-12-24,17,64,38
2023-12-31,18,68,41
2024-01-07,22,69,44
2024-01-14,21,70,44
2024-01-21,23,84,25
2024-01-28,24,82,25
2024-02-04,24,75,17
2024-02-11,24,73,20
2024-02-18,25,82,21
2024-02-25,24,86,23
2024-03-03,25,74,44
2024-03-10,24,61,47
2024-03-17,23,69,47
2024-03-24,23,69,46
2024-03-31,22,68,45
2024-04-07,23,68,44
2024-04-14,23,69,44
2024-04-21,22,72,43
2024-04-28,21,67,43
2024-05-05,21,63,41
2024-05-12,23,66,44
2024-05-19,23,68,45
2024-05-26,23,68,46
2024-06-02,23,68,43
2024-06-09,22,64,42
2024-06-16,22,61,44
2024-06-23,21,59,41
2024-06-30,21,62,42
2024-07-07,22,65,42
2024-07-14,22,76,42
2024-07-21,23,68,43
2024-07-28,22,62,43
2024-08-04,22,63,42
2024-08-11,21,68,43
2024-08-18,23,63,44
2024-08-25,22,66,49
2024-09-01,22,64,47
2024-09-08,23,67,49
2024-09-15,22,68,53
2024-09-22,24,68,51
2024-09-29,21,69,50
2024-10-06,22,72,50
2024-10-13,23,71,48
2024-10-20,24,71,47
2024-10-27,22,65,48
2024-11-03,22,69,48
2024-11-10,23,71,50
2024-11-17,23,73,52
2024-11-24,22,68,48
2024-12-01,23,75,56
