Semana,Visual Studio Code,IntelliJ IDEA,Sublime Text,PyCharm
2023-12-10,71,18,4,11
2023-12-17,68,17,4,10
2023-12-24,54,11,3,8
2023-12-31,59,16,4,9
2024-01-07,73,19,4,11
2024-01-14,77,19,4,12
2024-01-21,79,21,5,13
2024-01-28,92,22,5,13
2024-02-04,95,21,5,13
2024-02-11,83,19,5,12
2024-02-18,91,21,5,13
2024-02-25,93,22,5,13
2024-03-03,100,22,5,13
2024-03-10,87,23,5,13
2024-03-17,86,23,5,13
2024-03-24,82,20,5,12
2024-03-31,83,21,5,12
2024-04-07,84,22,4,12
2024-04-14,82,23,4,12
2024-04-21,87,22,4,12
2024-04-28,76,19,5,11
2024-05-05,79,21,4,11
2024-05-12,80,21,4,11
2024-05-19,83,21,4,11
2024-05-26,89,20,4,11
2024-06-02,76,19,4,11
2024-06-09,83,20,4,11
2024-06-16,76,18,4,10
2024-06-23,77,18,4,10
2024-06-30,76,18,4,10
2024-07-07,80,20,4,11
2024-07-14,76,20,4,11
2024-07-21,79,20,4,10
2024-07-28,78,19,4,10
2024-08-04,79,22,4,11
2024-08-11,78,19,4,10
2024-08-18,78,20,4,11
2024-08-25,84,20,5,11
2024-09-01,86,21,4,11
2024-09-08,91,21,5,11
2024-09-15,88,20,4,12
2024-09-22,86,20,4,12
2024-09-29,85,19,4,12
2024-10-06,85,21,4,12
2024-10-13,86,20,4,12
2024-10-20,86,21,4,12
2024-10-27,79,19,4,11
2024-11-03,84,19,4,11
2024-11-10,87,20,4,12
2024-11-17,85,21,4,12
2024-11-24,78,19,4,12
2024-12-01,84,19,4,12
2024-12-08,76,18,4,11
